Rank,School,Babcock,PubPriv,Tuition,Enrollment,Acceptance,Retention,Graduation,Type
20,Smith College,Class 1,Private,43114,3212,42.4,92,85,College
41,Soka University of America,None,Private,29092,438,45.8,95,92,College
201,South Dakota State University,Class 3,Public,7708,12583,91.7,76,56,University
177,Southern Illinois University at Carbondale,None,Public,12104,18847,51.4,66,50,University
60,Southern Methodist University,None,Private,43800,10893,53.8,89,79,University
65,Southwestern University,Class 2,Private,35240,1394,60.5,86,75,College
65,Spelman College,None,Private,24634,2145,38,88,73,College
120,St. Anselm College,None,Private,35204,1954,74.7,86,74,College
142,St. John Fisher College,None,Private,28430,4008,64.2,83,75,University
123,St. John's College,Class 2,Private,45004,NA,78.1,90,67,College
76,St. John's University,None,Private,37167,1983,74.8,91,77,College
152,St. John's University,None,Private,37260,21087,53.2,78,59,University
56,St. Lawrence University,Class 2,Private,46040,2488,48.2,92,80,College
101,St. Louis University St.,None,Private,36726,13981,63.7,86,70,University
76,St. Mary's College,None,Private,34600,1469,84.8,87,78,College
89,St. Mary's College of Maryland,None,Public,14865,1933,72,88,81,College
173,St. Mary's University of Minnesota,None,Private,29315,5574,79,76,62,University
89,St. Michael's College,None,Private,39015,2410,78,89,82,College
134,St. Norbert College,None,Private,31866,2287,80.4,83,75,College
52,St. Olaf College,Class 2,Private,40700,3176,60.4,93,86,College
146,St. Vincent College,None,Private,30351,1766,65.8,83,73,College
5,Stanford University,Class 1,Private,43245,18217,6.6,98,95,University
82,Stevens Institute of Technology,Class 1,Private,43561,5649,42.7,92,78,University
115,Stonehill College,None,Private,36160,2602,79.9,89,80,College
82,Stony Brook University at SUNY,None,Public,7984,24149,40.1,90,70,University
86,SUNY College of Environmental Science and Forestry,None,Public,6995,2401,50.7,85,67,University
115,Susquehanna University,Class 3,Private,38780,2215,75.5,85,74,College
3,Swarthmore College,Class 2,Private,44718,1552,14.2,97,92,College
110,Sweet Briar College,None,Private,33605,739,79.3,77,62,College
62,Syracuse University,Class 2,Private,40458,21029,51.3,92,82,University
121,Temple University,Class 2,Public,14340,36744,67.2,88,66,University
