Rank,School,Location,PubPriv,Tuition,Enrollment,Acceptance,Retention,Graduation,Type
109,University at Buffalo at SUNY,Buffalo NY,Public,7989,28952,56.9,88,70,University 
109,University of Oregon,Eugene OR,Public,9763,24518,74.2,85,68,University 
112,University of California at Riverside,Riverside CA,Public,12960,21005,62.7,87,70,University 
112,University of Dayton,Dayton OH,Private,35800,11159,55.2,87,78,University 
112,University of South Carolina,Columbia SC,Public,10816,31288,60.6,87,72,University 
112,University of St. Thomas St.,Paul MN,Private,34013,10316,86.7,88,74,University 
112,University of the,PacificStockton CA,Private,39810,6652,37.8,85,63,University 
117,Michigan Technological University,Houghton MI,Public,13728,6947,76.6,83,66,University 
117,University of San Francisco,San Francisco CA,Private,40294,10017,69.2,85,67,University 
119,University of Arizona,Tucson AZ,Public,10391,40223,76.9,78,61,University 
119,University of Kentucky,Lexington KY,Public,10110,28034,67.3,81,58,University 
121,The Catholic University of America,Washington DC,Private,38526,6838,63.2,81,67,University 
121,Clarkson University,Potsdam NY,Private,40610,3604,76.1,87,71,University 
121,Colorado State University,Fort Collins CO,Public,9313,30647,74.7,84,63,University 
121,DePaul University,Chicago IL,Private,33990,24966,62.3,86,68,University 
121,Duquesne University,Pittsburgh PA,Private,31385,9956,74.7,87,74,University 
121,Temple University,Philadelphia PA,Public,14340,36744,67.2,88,66,University 
121,University of Utah,Salt Lake City UT,Public,7534,32388,82.6,86,59,University 
128,Missouri University of Science & Technology,Rolla MO,Public,9510,7647,89.6,85,65,University 
128,Polytechnic Institute of New York University,Brooklyn NY,Private,41328,4652,62.1,86,62,University 
128,Seton Hall University,South Orange NJ,Private,35820,9830,84.4,82,67,University 
128,University at Albany at SUNY,Albany NY,Public,8140,17316,55.5,85,64,University 
128,University of Arkansas,Fayetteville AR,Public,7818,24537,63.5,83,60,University 
128,University of Illinois at Chicago,Chicago IL,Public,13406,27875,63.9,80,58,University 
128,Washington State University,Pullman WA,Public,12545,27679,76,83,67,University 
135,Hofstra University,Hempstead NY,Private,37400,11023,58.7,78,61,University 
135,Kansas State University,Manhattan KS,Public,8585,24378,99,81,58,University 
135,Louisiana State University at Baton Rouge Baton,Rouge LA,Public,7873,30225,76.2,84,67,University 
135,New School,New York NY,Private,40928,10575,65,81,65,University 
135,Ohio University,Athens OH,Public,10380,27402,77.7,81,64,University 
135,University of Cincinnati,Cincinnati OH,Public,10784,31798,67.1,85,62,University 
141,George Mason University,Fairfax VA,Public,9908,32961,65.8,86,66,University 
142,Arizona State University,Tempe AZ,Public,10002,73378,87.9,82,57,University 
142,Howard University,Washington DC,Private,22683,NA,53.9,82,65,University 
142,Mississippi State University Mississippi,State MS,Public,6722,20365,69.3,82,60,University 
142,Oklahoma State University,Stillwater OK,Public,7441,25544,77.6,79,62,University 
142,Oregon State University,Corvallis OR,Public,8538,26393,78.8,83,60,University 
142,Rutgers,Newark NJ,Public,12998,12011,57.5,86,61,University 
142,St. John Fisher College,Rochester NY,Private,28430,4008,64.2,83,75,University 
142,University of Texas at Dallas,Richardson TX,Public,11806,19727,52,84,64,University 
150,New Jersey Institute of Technology,Newark NJ,Public,15140,9944,63.7,82,54,University 
150,University of Mississippi,University MS,Public,6760,18794,61.1,82,58,University 
152,Adelphi University,Garden City NY,Private,30800,7859,66.5,81,66,University 
152,Illinois State University,Normal IL,Public,12573,20706,74,84,71,University 
152,San Diego State University,San Diego CA,Public,6578,31597,31.3,86,67,University 
152,St. John's University,Queens NY,Private,37260,21087,53.2,78,59,University 
152,University of Alabama at Birmingham,Birmingham AL,Public,8904,17999,73.4,80,48,University 
152,University of Rhode Island,Kingston RI,Public,12450,16451,76.9,81,63,University 
158,University of Hawaii at Manoa,Honolulu HI,Public,9904,20426,81.2,79,56,University 
158,University of Maryland at Baltimore County,Baltimore MD,Public,10068,13637,60.4,85,61,University 
158,University of Massachusetts at LowellLowell,MA,Public,12097,16294,65.8,80,54,University 
161,Maryville University of St. Louis St,Louis MO,Private,25002,4203,71.3,84,70,University 
161,Texas Tech University,Lubbock TX,Public,8942,32467,64.3,82,62,University 
161,University of Idaho,Moscow ID,Public,6524,12420,65.7,79,56,University 
161,University of La Verne,La Verne CA,Private,35000,4973,39,83,59,University 
161,University of Louisville,Louisville KY,Public,9750,21242,76.3,78,52,University 
161,University of Wyoming,Laramie WY,Public,4404,12903,95.7,74,54,University 
167,Florida Institute of Technology,Melbourne FL,Private,36020,5384,59.1,77,55,University 
167,University of Maine,Orono ME,Public,10594,10901,81.1,78,59,University 
167,Virginia Commonwealth University,Richmond VA,Public,12002,31752,60.2,85,57,University 
170,University of Central Florida,Orlando FL,Public,6317,59767,46.2,87,65,University 
170,University of South Florida,Tampa FL,Public,6410,40111,43.2,88,57,University 
170,West Virginia University,Morgantown WV,Public,6456,29707,85.1,79,56,University 
173,Azusa Pacific University,Azusa CA,Private,32256,10184,52.3,85,63,University 
173,Pace University,New York NY,Private,38069,12772,76.8,78,58,University 
173,St. Mary's University of Minnesota,Winona MN,Private,29315,5574,79,76,62,University 
173,University of North Dakota Grand,Forks ND,Public,7254,15250,73.7,77,54,University 
177,Biola University,La Mirada CA,Private,32142,6302,74.7,85,65,University 
177,Indiana University of Pennsylvania,Indiana PA,Public,9080,15379,61,75,50,University 
177,Northern Illinois University,DeKalb IL,Public,12952,21869,51.8,72,54,University 
177,Southern Illinois University at Carbondale,Carbondale IL,Public,12104,18847,51.4,66,50,University 
181,Andrews University Berrien,Springs MI,Private,25470,3551,37.5,79,59,University 
181,Ball State,UniversityMuncie IN,Public,9250,21053,61.2,79,57,University 
181,Bowling Green State University Bowling,Green OH,Public,10721,17286,73.6,74,58,University 
181,East Carolina University,Greenville NC,Public,5869,26947,62.2,80,58,University 
181,University of Alabama at Huntsville,Huntsville AL,Public,9192,7636,77.7,77,47,University 
181,University of Nevada at Reno,Reno NV,Public,6154,18227,83,79,54,University 
181,University of New Mexico,Albuquerque NM,Public,7274,29033,64.6,77,46,University 
181,Western Michigan University,Kalamazoo MI,Public,10355,24598,83.3,74,56,University 
181,Widener University,Chester PA,Private,38028,6238,65.5,72,55,University 
190,Central Michigan University Mount,Pleasant MI,Public,11220,27626,63.8,77,58,University 
190,Edgewood College,Madison WI,Private,24666,3064,73.2,78,53,University 
190,Immaculata University,Immaculata PA,Private,30740,4117,79.6,80,53,University 
190,Louisiana Tech University,Ruston LA,Public,7146,11304,70.8,76,47,University 
190,New Mexico State University Las,Cruces NM,Public,6220,17651,80.1,72,44,University 
190,North Dakota State University,Fargo ND,Public,7233,14443,83.6,78,53,University 
190,University of Colorado at Denver,Denver CO,Public,7494,22396,75.9,73,45,University 
190,University of Houston,Houston TX,Public,10272,40747,56.2,81,46,University 
190,University of North Carolina at Greensboro,Greensboro NC,Public,6388,18172,60,77,54,University 
190,University of South Dakota,Vermillion SD,Public,8022,10284,88.6,75,51,University 
190,Utah State University,Logan UT,Public,6183,28786,96.7,72,50,University 
201,Kent State University,Kent OH,Public,9816,28172,83,77,52,University 
201,Montana State University,Bozeman MT,Public,6821,14660,57.6,74,49,University 
201,South Dakota State University,Brookings SD,Public,7708,12583,91.7,76,56,University 
201,University of Missouri at Kansas City,Kansas City MO,Public,9456,16019,67.6,73,48,University 
201,University of Montana,Missoula MT,Public,6276,12479,95.4,73,48,University 
201,University of North Carolina at Charlotte,Charlotte NC,Public,6105,26232,68.5,78,53,University 
